Player,Year,Pos,Actual,Scrim,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Y/R,Rec TD,Catch%,Rush TD,Yards/att,Touch,Y/T,G,GS,cScrim,cTOT TD,cFmbl,cRec,cTgt,cAtt,cRush yds,cRec yds,cY/R,cRec TD,cCatch%,cRush TD,cY/A,cTouch,cY/T,cG,cGS
Jonnu Smith,2019,TE,104.7,32.3125,0.1875,0.0,2.1875,2.75,4.875,24.0,0.0,27.4375,0.78125,0.1875,4.96875,0.125,0.30625,2.4375,0.83125,16.0,14.0,14.829326923076923,0.1778846153846154,0.038461538461538464,1.3317307692307692,2.0913461538461537,0.0,0.0,14.829326923076923,0.7680288461538461,0.1778846153846154,4.440384615384616,0.0,0.0,1.3317307692307692,0.7680288461538461,14.5,12.5
Jonnu Smith,2020,TE,140.2,30.133333333333333,0.6,0.0,2.7333333333333334,4.333333333333333,0.26666666666666666,25.0,0.06666666666666667,29.866666666666667,0.7266666666666667,0.5333333333333333,4.206666666666667,0.06666666666666667,0.02,2.8666666666666667,0.7,15.0,14.0,20.65705128205128,0.1810897435897436,0.025641025641025644,1.6169871794871795,2.3108974358974357,1.625,0.0,19.03205128205128,0.7724358974358975,0.1810897435897436,4.61650641025641,0.041666666666666664,0.10208333333333335,1.7003205128205128,0.7891025641025641,15.0,13.0
Jonnu Smith,2021,TE,65.4,20.875,0.0625,0.0625,1.75,2.8125,2.5,26.0,0.0,18.375,0.65625,0.0625,3.8875,0.125,0.15625,2.3125,0.5625,16.0,11.0,23.026121794871795,0.28581730769230773,0.019230769230769232,1.896073717948718,2.81650641025641,1.2854166666666667,0.016666666666666666,21.74070512820513,0.7609935897435898,0.269150641025641,4.514046474358975,0.04791666666666666,0.08156250000000001,1.9919070512820514,0.7668269230769231,15.0,13.25
T.Y. Hilton,2012,WR,179.0,59.333333333333336,0.4666666666666667,0.06666666666666667,3.3333333333333335,6.0,1.9333333333333333,23.0,0.0,57.4,1.1466666666666667,0.4666666666666667,3.7066666666666666,0.13333333333333333,0.12666666666666665,3.6666666666666665,1.0799999999999998,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T.Y. Hilton,2013,WR,218.9,68.0625,0.3125,0.0625,5.125,8.6875,0.375,24.0,0.0,67.6875,0.825,0.3125,3.6875,0.0,0.025,5.25,0.8125,16.0,10.0,59.333333333333336,0.4666666666666667,0.06666666666666667,3.3333333333333335,6.0,1.9333333333333333,0.0,57.4,1.1466666666666667,0.4666666666666667,3.7066666666666666,0.13333333333333333,0.12666666666666665,3.6666666666666665,1.0799999999999998,15.0,1.0
T.Y. Hilton,2014,WR,254.5,91.0,0.4666666666666667,0.2,5.466666666666667,8.733333333333333,1.3333333333333333,25.0,0.0,89.66666666666667,1.0933333333333333,0.4666666666666667,4.173333333333334,0.06666666666666667,0.08666666666666667,5.6,1.0866666666666667,15.0,15.0,63.69791666666667,0.38958333333333334,0.06458333333333333,4.229166666666667,7.34375,1.1541666666666668,0.0,62.54375,0.9858333333333333,0.38958333333333334,3.6970833333333335,0.06666666666666667,0.07583333333333332,4.458333333333333,0.9462499999999999,15.5,5.5
T.Y. Hilton,2015,WR,209.4,70.25,0.3125,0.0625,4.3125,8.375,0.0,26.0,0.0,70.25,1.01875,0.3125,3.21875,0.0,0.0,4.3125,1.01875,16.0,15.0,72.79861111111111,0.4152777777777778,0.10972222222222222,4.641666666666667,7.8069444444444445,1.2138888888888888,0.0,71.58472222222223,1.0216666666666667,0.4152777777777778,3.8558333333333334,0.06666666666666667,0.07944444444444444,4.838888888888889,0.9930555555555555,15.333333333333334,8.666666666666666
T.Y. Hilton,2016,WR,271.8,90.5,0.375,0.0,5.6875,9.6875,0.0,27.0,0.0,90.5,0.99375,0.375,3.66875,0.0,0.0,5.6875,0.99375,16.0,16.0,72.16145833333334,0.38958333333333334,0.09791666666666667,4.559375,7.948958333333334,0.9104166666666667,0.0,71.25104166666667,1.0209375,0.38958333333333334,3.6965625,0.05,0.05958333333333333,4.707291666666666,0.9994791666666667,15.5,10.25
T.Y. Hilton,2017,WR,173.60000000000002,60.375,0.25,0.125,3.5625,6.8125,0.0,28.0,0.0,60.375,1.05625,0.25,3.26875,0.0,0.0,3.5625,1.05625,16.0,16.0,75.82916666666668,0.38666666666666666,0.07833333333333334,4.785,8.296666666666667,0.7283333333333333,0.0,75.10083333333333,1.0155,0.38666666666666666,3.6910000000000003,0.04,0.04766666666666666,4.903333333333333,0.9983333333333334,15.6,11.4
T.Y. Hilton,2018,WR,239.0,90.71428571428571,0.42857142857142855,0.0,5.428571428571429,8.571428571428571,0.0,29.0,0.0,90.71428571428571,1.1928571428571428,0.42857142857142855,4.521428571428571,0.0,0.0,5.428571428571429,1.1928571428571428,14.0,14.0,73.25347222222223,0.36388888888888893,0.0861111111111111,4.58125,8.049305555555556,0.6069444444444444,0.0,72.64652777777778,1.0222916666666668,0.36388888888888893,3.6206250000000004,0.03333333333333333,0.03972222222222222,4.679861111111111,1.0079861111111112,15.666666666666666,12.166666666666666
