Player,p2023
Trayveon Williams,-10.11918057037768
Jaelon Darden,3.86091429583729
Tom Kennedy,10.050128705741173
Andre Roberts,6.372587654766903
Mike Thomas,8.565323407157663
Charlie Woerner,27.722419532667303
Ross Dwelley,25.23665073666497
Jason Huntley,22.875671870992505
Dez Fitzpatrick,15.76337170898708
Rodney Smith,13.839678739421842
Antony Auclair,40.08399286537866
Jody Fortson,18.07847347722955
Eric Saubert,34.79157026810138
Wendell Smallwood,-0.4733083358514989
Tre' McKitty,9.918105948382532
J.J. Taylor,22.09031372186206
Kalen Ballage,23.09117890374361
Tommy Sweeney,22.48419038508355
Darren Fells,-11.949501247822738
Jakob Johnson,24.10165741464064
Kristian Wilkerson,46.26006429794577
Chris Hogan,-0.34652268052187196
Trent Taylor,-17.915950431930483
Chris Herndon,24.220066877287266
Gunner Olszewski,11.866385140093755
Greg Dortch,-7.796666053897596
Garrett Griffin,14.879646124405966
Auden Tate,0.25555496493126384
Curtis Samuel,-5.807486938319556
Willie Snead,-10.035645829561815
Kevin White,-19.573082399797258
Kendall Blanton,3.1942154184831537
JJ Arcega-Whiteside,16.900123776009906
Pharoh Cooper,-7.047983278305452
Noah Gray,27.296695740039013
D.J. Montgomery,-12.133649536848026
Kenny Yeboah,-6.933463777816442
Tyler Davis,12.400720509642838
Trevon Wesco,11.260185332383571
Dominique Dafney,-3.659502255141035
Trenton Irwin,-13.244501619273223
Seth Williams,-37.426205261382606
Shane Zylstra,-14.463286626430005
Cody Hollister,-8.491648364552091
Colby Parkinson,15.762221512566796
Kaden Smith,-5.020410562763502
Cody White,16.718297565658546
Josh Gordon,19.271785354146957
Tommy Hudson,-14.018604820065818
Deon Jackson,2.344230503663411
La'Mical Perine,-15.195954503889311
Jeremy Sprinkle,17.403918368560127
Cameron Batson,-0.9877716001832795
Daniel Brown,-1.523447950142824
JaQuan Hardy,7.574255205574943
Kylin Hill,-9.537232653118181
Jake Kumerow,11.556675973101008
Dwayne Washington,10.466196316831457
Sean McKeon,5.751855339155412
Will Fuller,-11.188543102687348
Reggie Gilliam,23.3216335796008
Mike Strachan,-16.59005874844847
Christian Blake,17.65157511538517
Anthony Miller,20.048885565186907
Gabe Nabers,-5.720755822236185
Marcus Kemp,15.392982520397112
Dazz Newsome,-20.190952362378624
Jaylen Samuels,-15.173945304501487
Tylan Wallace,20.525939392497918
Alex Armah,11.983370977857774
Scottie Phillips,-17.068152054866005
Jack Stoll,21.18849638193835
Jesper Horsted,6.824593213656058
Patrick Laird,-13.478294489117772
Dezmon Patmon,-0.9082938984026754
Adam Prentice,-8.756427232108535
Nick Bawden,-11.319241950496348
Raheem Mostert,-8.836258886514187
Darrynton Evans,5.875515320551244
Davion Davis,-32.25851825354172
Keith Kirkwood,-20.697529717769598
Chris Myarick,3.0106719170345855
David Sills,-21.69924699403134
Reggie Bonnafon,-19.15507325872126
Cethan Carter,14.357885272228813
Tyron Johnson,-4.4776183920471055
Derek Watt,18.06899335922924
Mitchell Wilcox,13.171643503462263
Trey Ragas,11.47818084216513
Frank Darby,-7.979437810527628
Anthony McFarland Jr.,-27.814091271085573
Stanley Morgan Jr.,20.964799746175572
Malik Taylor,-9.437916314866868
Tyrell Williams,-19.329635155691975
Cam Akers,7.781026362237853
Derek Carrier,-25.44143428078266
Andy Isabella,-15.597908316353966
John Kelly,-20.46893841666771
Kirk Merritt,-32.55128471113119
Jacques Patrick,-26.447655489964248
Johnny Stanton,-2.8946016268327384
Luke Stocker,-14.033952091453884
Buddy Howell,-6.530920833710439
Richard Rodgers,-30.47214806764238
Mekhi Sargent,-16.37800877910368
C.J. Saunders,-20.974293558391622
Tarik Black,-31.85565104656868
Khari Blasingame,-4.622913335423448
Gary Brightwell,6.792271983279207
Marvin Hall,-35.88995635817075
Demetrius Harris,6.275865808555977
Jaydon Mickens,-5.197496865425421
Brycen Hopkins,-24.15287059289159
Andy Janovich,10.238433648695775
Johnny Mundt,-23.555023361069544
Hunter Long,-16.409478931985745
Racey McMath,-10.172535523231389
Ryan Nall,-11.316269757517048
Kevin Rader,-17.913193357188945
Ethan Wolf,-21.48136556955734
Damarea Crockett,0.6901428082711902
Tommylee Lewis,-35.55413780881442
Eric Tomlinson,20.692013676904068
Miles Boykin,-26.515518065181453
Keke Coutee,-29.347452241887936
Jake Funk,-6.038589935135022
Easop Winston,-29.07856930966709
Trenton Cannon,-1.300311525367988
Devine Ozigbo,-30.110232632047484
Ito Smith,44.273871578706235
Nathan Cottrell,-28.155216095483297
Maurice Ffrench,-30.509102857255442
Nick Boyle,-29.34451100630497
